Episode:  22 | Episode_reward:  12.25
Episode:  23 | Episode_reward:  56.25
Episode:  24 | Episode_reward:  55.25
Episode:  25 | Episode_reward:  69.75
Episode:  26 | Episode_reward:  44.25
Episode:  27 | Episode_reward:  48.0
Episode:  28 | Episode_reward:  55.75
Episode:  29 | Episode_reward:  31.0
Episode:  30 | Episode_reward:  57.75
Episode:  31 | Episode_reward:  15.25
Episode:  32 | Episode_reward:  -0.25
Episode:  33 | Episode_reward:  67.5
Episode:  34 | Episode_reward:  -10.0
Episode:  35 | Episode_reward:  26.75
Episode:  36 | Episode_reward:  7.75
Episode:  37 | Episode_reward:  -6.5
Episode:  38 | Episode_reward:  35.25
Episode:  39 | Episode_reward:  41.75
Episode:  40 | Episode_reward:  57.0
Episode:  41 | Episode_reward:  54.75
Episode:  42 | Episode_reward:  4.5
Episode:  43 | Episode_reward:  70.5
Episode:  44 | Episode_reward:  18.0
Episode:  45 | Episode_reward:  19.25
Episode:  46 | Episode_reward:  8.75
Episode:  47 | Episode_reward:  54.0
Episode:  48 | Episode_reward:  50.5
Episode:  49 | Episode_reward:  51.5
Model: 546000 / Mean Reward: 32.3 

Episode:  0 | Episode_reward:  27.5
Episode:  1 | Episode_reward:  45.5
Episode:  2 | Episode_reward:  18.25
Episode:  3 | Episode_reward:  47.0
Episode:  4 | Episode_reward:  5.0
Episode:  5 | Episode_reward:  90.0
Episode:  6 | Episode_reward:  48.25
Episode:  7 | Episode_reward:  2.75
Episode:  8 | Episode_reward:  10.75
Episode:  9 | Episode_reward:  57.0
Episode:  10 | Episode_reward:  42.0
Episode:  11 | Episode_reward:  84.0
Episode:  12 | Episode_reward:  82.5
Episode:  13 | Episode_reward:  35.75
Episode:  14 | Episode_reward:  78.25
Episode:  15 | Episode_reward:  62.5
Episode:  16 | Episode_reward:  77.0
Episode:  17 | Episode_reward:  63.25
Episode:  18 | Episode_reward:  -5.5
Episode:  19 | Episode_reward:  43.75
Episode:  20 | Episode_reward:  52.25
Episode:  21 | Episode_reward:  65.5
Episode:  22 | Episode_reward:  -0.5
Episode:  23 | Episode_reward:  54.75
Episode:  24 | Episode_reward:  12.25
Episode:  25 | Episode_reward:  16.75
Episode:  26 | Episode_reward:  57.5
Episode:  27 | Episode_reward:  78.5
Episode:  28 | Episode_reward:  35.0
Episode:  29 | Episode_reward:  104.75
Episode:  30 | Episode_reward:  26.75
Episode:  31 | Episode_reward:  38.5
Episode:  32 | Episode_reward:  73.75
Episode:  33 | Episode_reward:  36.25
Episode:  34 | Episode_reward:  8.5
Episode:  35 | Episode_reward:  80.25
Episode:  36 | Episode_reward:  25.0
Episode:  37 | Episode_reward:  7.0
Episode:  38 | Episode_reward:  41.25
Episode:  39 | Episode_reward:  41.5
Episode:  40 | Episode_reward:  40.5
Episode:  41 | Episode_reward:  53.75
Episode:  42 | Episode_reward:  83.0
Episode:  43 | Episode_reward:  11.75
Episode:  44 | Episode_reward:  17.75
Episode:  45 | Episode_reward:  45.5
Episode:  46 | Episode_reward:  43.25
Episode:  47 | Episode_reward:  60.5
Episode:  48 | Episode_reward:  99.5
Episode:  49 | Episode_reward:  77.5
Model: 222000 / Mean Reward: 46.1 

Episode:  0 | Episode_reward:  36.75
Episode:  1 | Episode_reward:  61.75
Episode:  2 | Episode_reward:  8.0
Episode:  3 | Episode_reward:  23.5
Episode:  4 | Episode_reward:  31.75
Episode:  5 | Episode_reward:  -0.25
Episode:  6 | Episode_reward:  67.75
Episode:  7 | Episode_reward:  49.0
Episode:  8 | Episode_reward:  17.25
